Date,Close,High,Low,Open,Volume
2025-01-23,22038.25,22051.25,21855.5,21982.5,1175719
2025-01-24,21911.25,22078.0,21843.25,22018.0,1276646
2025-01-27,21258.5,21774.0,20763.75,21773.75,2615280
2025-01-28,21581.75,21626.0,21160.75,21340.0,1826787
2025-01-29,21523.25,21697.25,21368.0,21558.0,1814342
2025-01-30,21624.75,21748.75,21419.0,21555.75,1810537
2025-01-31,21589.25,21965.75,21531.5,21684.0,1801814
2025-02-03,21405.0,21577.75,20940.25,21280.25,2309233
2025-02-04,21670.25,21694.75,21240.75,21592.25,1416308
2025-02-05,21763.0,21795.5,21429.0,21566.0,1329849
2025-02-06,21871.75,21882.0,21706.0,21768.0,1248013
2025-02-07,21590.75,21967.75,21553.0,21819.75,1574065
2025-02-10,21846.5,21893.75,21415.0,21464.75,1010477
2025-02-11,21786.75,21871.25,21669.5,21832.0,1130598
2025-02-12,21804.75,21862.75,21510.0,21802.0,1420479
2025-02-13,22113.25,22123.75,21752.75,21865.0,1453821
2025-02-14,22196.25,22224.0,22042.5,22072.5,1136303
2025-02-18,22232.25,22320.0,22103.0,22238.0,1457366
2025-02-19,22250.5,22299.75,22118.0,22227.0,1142227
2025-02-20,22141.75,22235.0,21950.75,22215.0,1322069
2025-02-21,21679.25,22245.75,21652.25,22134.75,1642695
2025-02-24,21420.25,21813.0,21407.25,21700.75,1742302
2025-02-25,21149.0,21453.25,20990.5,21440.25,2173177
2025-02-26,21187.0,21409.75,21064.75,21225.0,1776584
2025-02-27,20605.75,21386.5,20582.5,21250.75,2523525
2025-02-28,20919.5,20944.25,20460.25,20649.5,2443321
2025-03-03,20468.25,21120.75,20317.5,21000.0,2466816
2025-03-04,20399.0,20733.0,20075.75,20525.0,2654095
2025-03-05,20665.0,20725.5,20215.0,20553.25,2428217
2025-03-06,20089.25,20648.5,20002.75,20608.0,2419630
2025-03-07,20229.75,20286.75,19766.0,20212.0,2680823
2025-03-10,19452.75,20156.0,19271.75,20149.5,2620267
2025-03-11,19399.0,19687.5,19140.0,19439.0,3013257
2025-03-12,19618.5,19788.75,19387.0,19412.0,2397309
2025-03-13,19249.0,19693.75,19165.5,19575.0,2634742
